run_id,backend,topic,event_id,match_id,t_sim_seconds,t_emit_offset_s,t_prod_sched_ns,t_prod_send_ns,t_broker_ack_ns
concurrency_n20_20260612_220313_kafka_feed3_rep1,kafka,sb-events-n20-feed3-rep1,69bb4fa7-f177-49a8-9b19-7c01cd9d9a9c,3895052,0,0.0,3198427100,3199108700,3335260000
concurrency_n20_20260612_220313_kafka_feed3_rep1,kafka,sb-events-n20-feed3-rep1,207c41be-4905-457d-af38-e356b67981de,3895060,0,0.0,3198427100,3336066700,3340614600
concurrency_n20_20260612_220313_kafka_feed3_rep1,kafka,sb-events-n20-feed3-rep1,7eb000ee-2ef0-462a-bd57-e4320f459c68,3895067,0,0.0,3198427100,3341270800,3346064600
concurrency_n20_20260612_220313_kafka_feed3_rep1,kafka,sb-events-n20-feed3-rep1,664c81bb-315d-4de4-86d5-f326eebf0684,3895074,0,0.0,3198427100,3346975900,3352510200
concurrency_n20_20260612_220313_kafka_feed3_rep1,kafka,sb-events-n20-feed3-rep1,6c9ebdf9-117f-4a31-8b52-ebcf3c35d0c6,3895086,0,0.0,3198427100,3355270900,3359661700
concurrency_n20_20260612_220313_kafka_feed3_rep1,kafka,sb-events-n20-feed3-rep1,9103cd62-6a36-40c6-9f80-ab1f6d258133,3895095,0,0.0,3198427100,3360608300,3369894500
concurrency_n20_20260612_220313_kafka_feed3_rep1,kafka,sb-events-n20-feed3-rep1,84fbca7e-c79e-4f67-8026-4c9578366292,3895107,0,0.0,3198427100,3372196300,3375564500
concurrency_n20_20260612_220313_kafka_feed3_rep1,kafka,sb-events-n20-feed3-rep1,ea1e6876-4179-4750-8231-55c3d6ec8001,3895113,0,0.0,3198427100,3376712400,3380341600
concurrency_n20_20260612_220313_kafka_feed3_rep1,kafka,sb-events-n20-feed3-rep1,16d29511-a5c7-4a18-a4b4-d40571e69bd4,3895121,0,0.0,3198427100,3385452000,3388700800
concurrency_n20_20260612_220313_kafka_feed3_rep1,kafka,sb-events-n20-feed3-rep1,7f498384-e379-41b8-bdd2-8bf16412e8cc,3895134,0,0.0,3198427100,3389956000,3394609000
concurrency_n20_20260612_220313_kafka_feed3_rep1,kafka,sb-events-n20-feed3-rep1,9790a466-9c56-42aa-96aa-a9ad1a6f8811,3895052,0,0.0,3198427100,3395852800,3401194300
concurrency_n20_20260612_220313_kafka_feed3_rep1,kafka,sb-events-n20-feed3-rep1,fefef503-f3cc-4d41-9b3f-9ddc57b6a93b,3895060,0,0.0,3198427100,3403691000,3409722400
concurrency_n20_20260612_220313_kafka_feed3_rep1,kafka,sb-events-n20-feed3-rep1,d593adb3-8980-46f6-b384-4a91f4ec01ba,3895067,0,0.0,3198427100,3410634300,3415969200
concurrency_n20_20260612_220313_kafka_feed3_rep1,kafka,sb-events-n20-feed3-rep1,3dd463f6-b445-407d-8120-bf6aeab35526,3895074,0,0.0,3198427100,3416643000,3419349300
concurrency_n20_20260612_220313_kafka_feed3_rep1,kafka,sb-events-n20-feed3-rep1,6755b1ac-4f37-4c35-b1ef-181d68375e7d,3895086,0,0.0,3198427100,3422466500,3433382500
concurrency_n20_20260612_220313_kafka_feed3_rep1,kafka,sb-events-n20-feed3-rep1,73376ffb-3f9f-4570-9b3e-c51d44315ef3,3895095,0,0.0,3198427100,3436100600,3443179100
concurrency_n20_20260612_220313_kafka_feed3_rep1,kafka,sb-events-n20-feed3-rep1,b4bd630b-4e82-4f31-8947-17beb238dc5a,3895107,0,0.0,3198427100,3446221700,3451836500
concurrency_n20_20260612_220313_kafka_feed3_rep1,kafka,sb-events-n20-feed3-rep1,a88295ad-33e8-4427-872c-eba006d8a0ef,3895113,0,0.0,3198427100,3453596200,3459010000
concurrency_n20_20260612_220313_kafka_feed3_rep1,kafka,sb-events-n20-feed3-rep1,27cf4ae2-0319-4fc6-9ace-9f960bb0e4e6,3895121,0,0.0,3198427100,3461887800,3470495700
concurrency_n20_20260612_220313_kafka_feed3_rep1,kafka,sb-events-n20-feed3-rep1,4af6d17a-69ad-4bca-aece-f3be76c10138,3895134,0,0.0,3198427100,3478720100,3487612700
concurrency_n20_20260612_220313_kafka_feed3_rep1,kafka,sb-events-n20-feed3-rep1,c6762724-3ad0-4ed1-b232-7f32ac192ec6,3895052,0,0.0,3198427100,3489981200,3495204500
concurrency_n20_20260612_220313_kafka_feed3_rep1,kafka,sb-events-n20-feed3-rep1,2f46ad65-50a4-4834-9bd9-86a61f034234,3895060,0,0.0,3198427100,3496639900,3501132200
concurrency_n20_20260612_220313_kafka_feed3_rep1,kafka,sb-events-n20-feed3-rep1,a40403c7-74d7-45e6-ba91-5ebd6c313d8e,3895067,0,0.0,3198427100,3504413700,3509250000
concurrency_n20_20260612_220313_kafka_feed3_rep1,kafka,sb-events-n20-feed3-rep1,77f9b3e5-e0e4-4032-8228-089aa0dd578b,3895074,0,0.0,3198427100,3511835000,3514796000
concurrency_n20_20260612_220313_kafka_feed3_rep1,kafka,sb-events-n20-feed3-rep1,8b3af8ba-e26c-40b0-8278-c3e4c7a925f8,3895086,0,0.0,3198427100,3517410200,3526145900
concurrency_n20_20260612_220313_kafka_feed3_rep1,kafka,sb-events-n20-feed3-rep1,52a1e2ea-5b27-4cb1-9204-865583191956,3895095,0,0.0,3198427100,3528480300,3532659900
concurrency_n20_20260612_220313_kafka_feed3_rep1,kafka,sb-events-n20-feed3-rep1,6810c39c-8726-412f-b831-62dfec867465,3895107,0,0.0,3198427100,3534972500,3551210300
concurrency_n20_20260612_220313_kafka_feed3_rep1,kafka,sb-events-n20-feed3-rep1,6d6ab3f4-8136-407c-a92f-3f8a6549abdd,3895113,0,0.0,3198427100,3554382500,3557679000
concurrency_n20_20260612_220313_kafka_feed3_rep1,kafka,sb-events-n20-feed3-rep1,92e52894-484a-48de-8051-469ea23d6aaa,3895121,0,0.0,3198427100,3560859800,3565865500
concurrency_n20_20260612_220313_kafka_feed3_rep1,kafka,sb-events-n20-feed3-rep1,a281da9d-e3f4-43f1-ac2e-f46bbd04fed0,3895134,0,0.0,3198427100,3567743400,3572933600
concurrency_n20_20260612_220313_kafka_feed3_rep1,kafka,sb-events-n20-feed3-rep1,ba22283a-c920-448c-804e-3737cccd9fff,3895052,0,0.0,3198427100,3574667500,3583442500
concurrency_n20_20260612_220313_kafka_feed3_rep1,kafka,sb-events-n20-feed3-rep1,3b3a42a2-e2a1-49f8-9b77-5ec638303a06,3895060,0,0.0,3198427100,3586610400,3591294900
concurrency_n20_20260612_220313_kafka_feed3_rep1,kafka,sb-events-n20-feed3-rep1,fae27a68-42f4-44cf-8fc0-8d4126407ae3,3895067,0,0.0,3198427100,3594038100,3598905300
concurrency_n20_20260612_220313_kafka_feed3_rep1,kafka,sb-events-n20-feed3-rep1,e627413d-5de5-402a-9bb3-90c4cd3b65ec,3895074,0,0.0,3198427100,3600515400,3617083600
concurrency_n20_20260612_220313_kafka_feed3_rep1,kafka,sb-events-n20-feed3-rep1,b795eae8-ba56-4343-8662-92a8da669bc5,3895086,0,0.0,3198427100,3620103100,3639604500
concurrency_n20_20260612_220313_kafka_feed3_rep1,kafka,sb-events-n20-feed3-rep1,a7102458-910f-4583-b653-e3165351e124,3895095,0,0.0,3198427100,3642888700,3646008200
concurrency_n20_20260612_220313_kafka_feed3_rep1,kafka,sb-events-n20-feed3-rep1,a549d56e-c626-419f-9244-ad813ec8e559,3895107,0,0.0,3198427100,3648923200,3691344600
concurrency_n20_20260612_220313_kafka_feed3_rep1,kafka,sb-events-n20-feed3-rep1,51a7253e-31ed-49f5-9494-f5ab0d2ee039,3895113,0,0.0,3198427100,3692559400,3699318400
concurrency_n20_20260612_220313_kafka_feed3_rep1,kafka,sb-events-n20-feed3-rep1,d16c061b-99fe-4266-ad73-d7f9c73482b0,3895121,0,0.0,3198427100,3704079100,3719686900
concurrency_n20_20260612_220313_kafka_feed3_rep1,kafka,sb-events-n20-feed3-rep1,6d5e4ad7-9dd8-428b-97f9-5eee0ee14c17,3895134,0,0.0,3198427100,3721342700,3735726800
concurrency_n20_20260612_220313_kafka_feed3_rep1,kafka,sb-events-n20-feed3-rep1,9a50295b-7f7a-449c-9ef3-87e60467e8e1,3895052,0,0.0,3198427100,3738087300,3743689800
concurrency_n20_20260612_220313_kafka_feed3_rep1,kafka,sb-events-n20-feed3-rep1,69bdfb9b-ba46-41c8-814a-98f0a43c6501,3895060,0,0.0,3198427100,3748424500,3754460800
concurrency_n20_20260612_220313_kafka_feed3_rep1,kafka,sb-events-n20-feed3-rep1,ad010a23-88fe-43af-8b5c-8cd1772842ac,3895067,0,0.0,3198427100,3757475200,3763188600
concurrency_n20_20260612_220313_kafka_feed3_rep1,kafka,sb-events-n20-feed3-rep1,16252ec8-ab09-4119-bcf6-7fd6524f9128,3895074,0,0.0,3198427100,3765780200,3772301600
concurrency_n20_20260612_220313_kafka_feed3_rep1,kafka,sb-events-n20-feed3-rep1,3aee3cdf-be11-4ee6-b4bb-828cb4edbe36,3895086,0,0.0,3198427100,3774739500,3781460400
concurrency_n20_20260612_220313_kafka_feed3_rep1,kafka,sb-events-n20-feed3-rep1,4a13ba2d-59ad-43d3-b567-6aee81422367,3895095,0,0.0,3198427100,3787521400,3794409300
concurrency_n20_20260612_220313_kafka_feed3_rep1,kafka,sb-events-n20-feed3-rep1,cc3b6a56-e194-4ce6-901d-a4f84177e81b,3895107,0,0.0,3198427100,3797011300,3802054700
concurrency_n20_20260612_220313_kafka_feed3_rep1,kafka,sb-events-n20-feed3-rep1,ac5aac4c-5a0e-44c2-97ca-ec38bdb05917,3895113,0,0.0,3198427100,3804162400,3810622200
concurrency_n20_20260612_220313_kafka_feed3_rep1,kafka,sb-events-n20-feed3-rep1,1cdd596e-bf1f-4096-848a-a2a5db4fd313,3895121,0,0.0,3198427100,3811550000,3815662800
concurrency_n20_20260612_220313_kafka_feed3_rep1,kafka,sb-events-n20-feed3-rep1,1bed9ec9-1af9-4570-a620-8aab3469a6dd,3895134,0,0.0,3198427100,3817450600,3821974000
concurrency_n20_20260612_220313_kafka_feed3_rep1,kafka,sb-events-n20-feed3-rep1,e03021cc-80c5-4ac6-909e-903dca845ee3,3895107,0,0.0,3198427100,3823066200,3828594900
concurrency_n20_20260612_220313_kafka_feed3_rep1,kafka,sb-events-n20-feed3-rep1,f3dfb8ef-6678-493f-bbce-99f9678b7f75,3895107,0,0.0,3198427100,3832539000,3845665500
concurrency_n20_20260612_220313_kafka_feed3_rep1,kafka,sb-events-n20-feed3-rep1,17c0df03-219a-4603-befe-8cd2f58d6d47,3895052,1,0.0833333333333333,3198774322,3847073200,3853943400
concurrency_n20_20260612_220313_kafka_feed3_rep1,kafka,sb-events-n20-feed3-rep1,b306ec30-5755-4017-861a-670617955a41,3895074,1,0.0833333333333333,3198774322,3858018000,3865498300
concurrency_n20_20260612_220313_kafka_feed3_rep1,kafka,sb-events-n20-feed3-rep1,6c4c62f2-7d95-4094-a714-50c0161ee2e6,3895052,1,0.0833333333333333,3198774322,3870113200,3878656700
