run_id,backend,topic,partition,offset,t_consume_ns,event_id,match_id,t_sim_seconds,t_emit_offset_s,t_emit_planned_ns,s3_uid,s3_rev,s3_is_correction
concurrency_n1_20260612_215928_kafka_feed1_rep1,kafka,sb-events-n1-feed1-rep1,2,181,2878307900,69bb4fa7-f177-49a8-9b19-7c01cd9d9a9c,3895052,0,0.0,734063000,3895052:69bb4fa7-f177-49a8-9b19-7c01cd9d9a9c,1,False
concurrency_n1_20260612_215928_kafka_feed1_rep1,kafka,sb-events-n1-feed1-rep1,1,209,2879595900,207c41be-4905-457d-af38-e356b67981de,3895060,0,0.0,734063000,3895060:207c41be-4905-457d-af38-e356b67981de,1,False
concurrency_n1_20260612_215928_kafka_feed1_rep1,kafka,sb-events-n1-feed1-rep1,0,194,2881081700,7eb000ee-2ef0-462a-bd57-e4320f459c68,3895067,0,0.0,734063000,3895067:7eb000ee-2ef0-462a-bd57-e4320f459c68,1,False
concurrency_n1_20260612_215928_kafka_feed1_rep1,kafka,sb-events-n1-feed1-rep1,2,182,2882578700,664c81bb-315d-4de4-86d5-f326eebf0684,3895074,0,0.0,734063000,3895074:664c81bb-315d-4de4-86d5-f326eebf0684,1,False
concurrency_n1_20260612_215928_kafka_feed1_rep1,kafka,sb-events-n1-feed1-rep1,0,195,2883705500,6c9ebdf9-117f-4a31-8b52-ebcf3c35d0c6,3895086,0,0.0,734063000,3895086:6c9ebdf9-117f-4a31-8b52-ebcf3c35d0c6,1,False
concurrency_n1_20260612_215928_kafka_feed1_rep1,kafka,sb-events-n1-feed1-rep1,2,183,2885240800,9103cd62-6a36-40c6-9f80-ab1f6d258133,3895095,0,0.0,734063000,3895095:9103cd62-6a36-40c6-9f80-ab1f6d258133,1,False
concurrency_n1_20260612_215928_kafka_feed1_rep1,kafka,sb-events-n1-feed1-rep1,0,196,2886478700,84fbca7e-c79e-4f67-8026-4c9578366292,3895107,0,0.0,734063000,3895107:84fbca7e-c79e-4f67-8026-4c9578366292,1,False
concurrency_n1_20260612_215928_kafka_feed1_rep1,kafka,sb-events-n1-feed1-rep1,1,210,2888114200,ea1e6876-4179-4750-8231-55c3d6ec8001,3895113,0,0.0,734063000,3895113:ea1e6876-4179-4750-8231-55c3d6ec8001,1,False
concurrency_n1_20260612_215928_kafka_feed1_rep1,kafka,sb-events-n1-feed1-rep1,1,211,2889598400,16d29511-a5c7-4a18-a4b4-d40571e69bd4,3895121,0,0.0,734063000,3895121:16d29511-a5c7-4a18-a4b4-d40571e69bd4,1,False
concurrency_n1_20260612_215928_kafka_feed1_rep1,kafka,sb-events-n1-feed1-rep1,0,197,2890918900,7f498384-e379-41b8-bdd2-8bf16412e8cc,3895134,0,0.0,734063000,3895134:7f498384-e379-41b8-bdd2-8bf16412e8cc,1,False
concurrency_n1_20260612_215928_kafka_feed1_rep1,kafka,sb-events-n1-feed1-rep1,1,212,2892331800,9790a466-9c56-42aa-96aa-a9ad1a6f8811,3895052,0,0.0,734063000,3895052:9790a466-9c56-42aa-96aa-a9ad1a6f8811,1,False
concurrency_n1_20260612_215928_kafka_feed1_rep1,kafka,sb-events-n1-feed1-rep1,0,198,2893854900,fefef503-f3cc-4d41-9b3f-9ddc57b6a93b,3895060,0,0.0,734063000,3895060:fefef503-f3cc-4d41-9b3f-9ddc57b6a93b,1,False
concurrency_n1_20260612_215928_kafka_feed1_rep1,kafka,sb-events-n1-feed1-rep1,2,184,2895377400,d593adb3-8980-46f6-b384-4a91f4ec01ba,3895067,0,0.0,734063000,3895067:d593adb3-8980-46f6-b384-4a91f4ec01ba,1,False
concurrency_n1_20260612_215928_kafka_feed1_rep1,kafka,sb-events-n1-feed1-rep1,0,199,2896713000,3dd463f6-b445-407d-8120-bf6aeab35526,3895074,0,0.0,734063000,3895074:3dd463f6-b445-407d-8120-bf6aeab35526,1,False
concurrency_n1_20260612_215928_kafka_feed1_rep1,kafka,sb-events-n1-feed1-rep1,0,200,2898169600,6755b1ac-4f37-4c35-b1ef-181d68375e7d,3895086,0,0.0,734063000,3895086:6755b1ac-4f37-4c35-b1ef-181d68375e7d,1,False
concurrency_n1_20260612_215928_kafka_feed1_rep1,kafka,sb-events-n1-feed1-rep1,2,185,2899434400,73376ffb-3f9f-4570-9b3e-c51d44315ef3,3895095,0,0.0,734063000,3895095:73376ffb-3f9f-4570-9b3e-c51d44315ef3,1,False
concurrency_n1_20260612_215928_kafka_feed1_rep1,kafka,sb-events-n1-feed1-rep1,0,201,2900881300,b4bd630b-4e82-4f31-8947-17beb238dc5a,3895107,0,0.0,734063000,3895107:b4bd630b-4e82-4f31-8947-17beb238dc5a,1,False
concurrency_n1_20260612_215928_kafka_feed1_rep1,kafka,sb-events-n1-feed1-rep1,0,202,2902525100,a88295ad-33e8-4427-872c-eba006d8a0ef,3895113,0,0.0,734063000,3895113:a88295ad-33e8-4427-872c-eba006d8a0ef,1,False
concurrency_n1_20260612_215928_kafka_feed1_rep1,kafka,sb-events-n1-feed1-rep1,1,213,2904341600,27cf4ae2-0319-4fc6-9ace-9f960bb0e4e6,3895121,0,0.0,734063000,3895121:27cf4ae2-0319-4fc6-9ace-9f960bb0e4e6,1,False
concurrency_n1_20260612_215928_kafka_feed1_rep1,kafka,sb-events-n1-feed1-rep1,1,214,2906174100,4af6d17a-69ad-4bca-aece-f3be76c10138,3895134,0,0.0,734063000,3895134:4af6d17a-69ad-4bca-aece-f3be76c10138,1,False
concurrency_n1_20260612_215928_kafka_feed1_rep1,kafka,sb-events-n1-feed1-rep1,1,215,2907939800,c6762724-3ad0-4ed1-b232-7f32ac192ec6,3895052,0,0.0,734063000,3895052:c6762724-3ad0-4ed1-b232-7f32ac192ec6,1,False
