run_id,backend,topic,event_id,match_id,t_sim_seconds,t_emit_offset_s,t_prod_sched_ns,t_prod_send_ns,t_broker_ack_ns
concurrency_n1_20260612_215928_kafka_feed1_rep1,kafka,sb-events-n1-feed1-rep1,69bb4fa7-f177-49a8-9b19-7c01cd9d9a9c,3895052,0,0.0,734063000,734671700,855590500
concurrency_n1_20260612_215928_kafka_feed1_rep1,kafka,sb-events-n1-feed1-rep1,207c41be-4905-457d-af38-e356b67981de,3895060,0,0.0,734063000,855860000,857221200
concurrency_n1_20260612_215928_kafka_feed1_rep1,kafka,sb-events-n1-feed1-rep1,7eb000ee-2ef0-462a-bd57-e4320f459c68,3895067,0,0.0,734063000,857448500,858674700
concurrency_n1_20260612_215928_kafka_feed1_rep1,kafka,sb-events-n1-feed1-rep1,664c81bb-315d-4de4-86d5-f326eebf0684,3895074,0,0.0,734063000,858892800,860092600
concurrency_n1_20260612_215928_kafka_feed1_rep1,kafka,sb-events-n1-feed1-rep1,6c9ebdf9-117f-4a31-8b52-ebcf3c35d0c6,3895086,0,0.0,734063000,860301300,861389000
concurrency_n1_20260612_215928_kafka_feed1_rep1,kafka,sb-events-n1-feed1-rep1,9103cd62-6a36-40c6-9f80-ab1f6d258133,3895095,0,0.0,734063000,861573300,862761700
concurrency_n1_20260612_215928_kafka_feed1_rep1,kafka,sb-events-n1-feed1-rep1,84fbca7e-c79e-4f67-8026-4c9578366292,3895107,0,0.0,734063000,862956900,864245900
concurrency_n1_20260612_215928_kafka_feed1_rep1,kafka,sb-events-n1-feed1-rep1,ea1e6876-4179-4750-8231-55c3d6ec8001,3895113,0,0.0,734063000,864450100,865612200
concurrency_n1_20260612_215928_kafka_feed1_rep1,kafka,sb-events-n1-feed1-rep1,16d29511-a5c7-4a18-a4b4-d40571e69bd4,3895121,0,0.0,734063000,865831300,867169400
concurrency_n1_20260612_215928_kafka_feed1_rep1,kafka,sb-events-n1-feed1-rep1,7f498384-e379-41b8-bdd2-8bf16412e8cc,3895134,0,0.0,734063000,867374000,868592600
concurrency_n1_20260612_215928_kafka_feed1_rep1,kafka,sb-events-n1-feed1-rep1,9790a466-9c56-42aa-96aa-a9ad1a6f8811,3895052,0,0.0,734063000,868784400,869951300
concurrency_n1_20260612_215928_kafka_feed1_rep1,kafka,sb-events-n1-feed1-rep1,fefef503-f3cc-4d41-9b3f-9ddc57b6a93b,3895060,0,0.0,734063000,870147800,871548900
concurrency_n1_20260612_215928_kafka_feed1_rep1,kafka,sb-events-n1-feed1-rep1,d593adb3-8980-46f6-b384-4a91f4ec01ba,3895067,0,0.0,734063000,871751500,872965800
concurrency_n1_20260612_215928_kafka_feed1_rep1,kafka,sb-events-n1-feed1-rep1,3dd463f6-b445-407d-8120-bf6aeab35526,3895074,0,0.0,734063000,873157400,874410400
concurrency_n1_20260612_215928_kafka_feed1_rep1,kafka,sb-events-n1-feed1-rep1,6755b1ac-4f37-4c35-b1ef-181d68375e7d,3895086,0,0.0,734063000,874598600,875781400
concurrency_n1_20260612_215928_kafka_feed1_rep1,kafka,sb-events-n1-feed1-rep1,73376ffb-3f9f-4570-9b3e-c51d44315ef3,3895095,0,0.0,734063000,876005300,877129900
concurrency_n1_20260612_215928_kafka_feed1_rep1,kafka,sb-events-n1-feed1-rep1,b4bd630b-4e82-4f31-8947-17beb238dc5a,3895107,0,0.0,734063000,877306600,878480900
concurrency_n1_20260612_215928_kafka_feed1_rep1,kafka,sb-events-n1-feed1-rep1,a88295ad-33e8-4427-872c-eba006d8a0ef,3895113,0,0.0,734063000,878681900,880008200
concurrency_n1_20260612_215928_kafka_feed1_rep1,kafka,sb-events-n1-feed1-rep1,27cf4ae2-0319-4fc6-9ace-9f960bb0e4e6,3895121,0,0.0,734063000,880305700,881969500
concurrency_n1_20260612_215928_kafka_feed1_rep1,kafka,sb-events-n1-feed1-rep1,4af6d17a-69ad-4bca-aece-f3be76c10138,3895134,0,0.0,734063000,882221100,883713500
concurrency_n1_20260612_215928_kafka_feed1_rep1,kafka,sb-events-n1-feed1-rep1,c6762724-3ad0-4ed1-b232-7f32ac192ec6,3895052,0,0.0,734063000,883977800,885349200
