run_id,backend,topic,event_id,match_id,t_sim_seconds,t_emit_offset_s,t_prod_sched_ns,t_prod_send_ns,t_broker_ack_ns
concurrency_n10_20260613_002229_kafka_feed5_rep1,kafka,sb-events-n10-feed5-rep1,69bb4fa7-f177-49a8-9b19-7c01cd9d9a9c,3895052,0,0.0,4242407700,4244112700,4400129000
concurrency_n10_20260613_002229_kafka_feed5_rep1,kafka,sb-events-n10-feed5-rep1,207c41be-4905-457d-af38-e356b67981de,3895060,0,0.0,4242407700,4431116800,4436404200
concurrency_n10_20260613_002229_kafka_feed5_rep1,kafka,sb-events-n10-feed5-rep1,7eb000ee-2ef0-462a-bd57-e4320f459c68,3895067,0,0.0,4242407700,4445372900,4456829500
concurrency_n10_20260613_002229_kafka_feed5_rep1,kafka,sb-events-n10-feed5-rep1,664c81bb-315d-4de4-86d5-f326eebf0684,3895074,0,0.0,4242407700,4459329700,4463477700
concurrency_n10_20260613_002229_kafka_feed5_rep1,kafka,sb-events-n10-feed5-rep1,6c9ebdf9-117f-4a31-8b52-ebcf3c35d0c6,3895086,0,0.0,4242407700,4466506600,4476358700
concurrency_n10_20260613_002229_kafka_feed5_rep1,kafka,sb-events-n10-feed5-rep1,9103cd62-6a36-40c6-9f80-ab1f6d258133,3895095,0,0.0,4242407700,4477623300,4482188200
concurrency_n10_20260613_002229_kafka_feed5_rep1,kafka,sb-events-n10-feed5-rep1,84fbca7e-c79e-4f67-8026-4c9578366292,3895107,0,0.0,4242407700,4492802200,4497305400
concurrency_n10_20260613_002229_kafka_feed5_rep1,kafka,sb-events-n10-feed5-rep1,ea1e6876-4179-4750-8231-55c3d6ec8001,3895113,0,0.0,4242407700,4501653900,4508959600
concurrency_n10_20260613_002229_kafka_feed5_rep1,kafka,sb-events-n10-feed5-rep1,16d29511-a5c7-4a18-a4b4-d40571e69bd4,3895121,0,0.0,4242407700,4514510700,4540032000
concurrency_n10_20260613_002229_kafka_feed5_rep1,kafka,sb-events-n10-feed5-rep1,7f498384-e379-41b8-bdd2-8bf16412e8cc,3895134,0,0.0,4242407700,4543845000,4547218500
concurrency_n10_20260613_002229_kafka_feed5_rep1,kafka,sb-events-n10-feed5-rep1,224d6601-6768-4908-aa17-df7c0b6dda1b,3895232,0,0.0,4242407700,4560215400,4595048800
concurrency_n10_20260613_002229_kafka_feed5_rep1,kafka,sb-events-n10-feed5-rep1,9790a466-9c56-42aa-96aa-a9ad1a6f8811,3895052,0,0.0,4242407700,4599747400,4615940200
concurrency_n10_20260613_002229_kafka_feed5_rep1,kafka,sb-events-n10-feed5-rep1,fefef503-f3cc-4d41-9b3f-9ddc57b6a93b,3895060,0,0.0,4242407700,4616380100,4628922100
concurrency_n10_20260613_002229_kafka_feed5_rep1,kafka,sb-events-n10-feed5-rep1,d593adb3-8980-46f6-b384-4a91f4ec01ba,3895067,0,0.0,4242407700,4637885900,4655274000
concurrency_n10_20260613_002229_kafka_feed5_rep1,kafka,sb-events-n10-feed5-rep1,3dd463f6-b445-407d-8120-bf6aeab35526,3895074,0,0.0,4242407700,4657342400,4672901200
concurrency_n10_20260613_002229_kafka_feed5_rep1,kafka,sb-events-n10-feed5-rep1,6755b1ac-4f37-4c35-b1ef-181d68375e7d,3895086,0,0.0,4242407700,4701787000,4706724400
concurrency_n10_20260613_002229_kafka_feed5_rep1,kafka,sb-events-n10-feed5-rep1,73376ffb-3f9f-4570-9b3e-c51d44315ef3,3895095,0,0.0,4242407700,4716033700,4719378700
concurrency_n10_20260613_002229_kafka_feed5_rep1,kafka,sb-events-n10-feed5-rep1,b4bd630b-4e82-4f31-8947-17beb238dc5a,3895107,0,0.0,4242407700,4733579800,4740212900
concurrency_n10_20260613_002229_kafka_feed5_rep1,kafka,sb-events-n10-feed5-rep1,a88295ad-33e8-4427-872c-eba006d8a0ef,3895113,0,0.0,4242407700,4741741000,4748292500
concurrency_n10_20260613_002229_kafka_feed5_rep1,kafka,sb-events-n10-feed5-rep1,27cf4ae2-0319-4fc6-9ace-9f960bb0e4e6,3895121,0,0.0,4242407700,4751045700,4776590300
concurrency_n10_20260613_002229_kafka_feed5_rep1,kafka,sb-events-n10-feed5-rep1,4af6d17a-69ad-4bca-aece-f3be76c10138,3895134,0,0.0,4242407700,4783479300,4795820500
concurrency_n10_20260613_002229_kafka_feed5_rep1,kafka,sb-events-n10-feed5-rep1,4ecb7ba2-122b-4bc6-846d-d2e3e2af4165,3895232,0,0.0,4242407700,4808103900,4825486100
concurrency_n10_20260613_002229_kafka_feed5_rep1,kafka,sb-events-n10-feed5-rep1,c6762724-3ad0-4ed1-b232-7f32ac192ec6,3895052,0,0.0,4242407700,4838781700,4844731000
concurrency_n10_20260613_002229_kafka_feed5_rep1,kafka,sb-events-n10-feed5-rep1,2f46ad65-50a4-4834-9bd9-86a61f034234,3895060,0,0.0,4242407700,4845182600,4850013100
concurrency_n10_20260613_002229_kafka_feed5_rep1,kafka,sb-events-n10-feed5-rep1,a40403c7-74d7-45e6-ba91-5ebd6c313d8e,3895067,0,0.0,4242407700,4850481100,4857138300
concurrency_n10_20260613_002229_kafka_feed5_rep1,kafka,sb-events-n10-feed5-rep1,77f9b3e5-e0e4-4032-8228-089aa0dd578b,3895074,0,0.0,4242407700,4870618800,4874456200
concurrency_n10_20260613_002229_kafka_feed5_rep1,kafka,sb-events-n10-feed5-rep1,8b3af8ba-e26c-40b0-8278-c3e4c7a925f8,3895086,0,0.0,4242407700,4874933400,4892810500
concurrency_n10_20260613_002229_kafka_feed5_rep1,kafka,sb-events-n10-feed5-rep1,52a1e2ea-5b27-4cb1-9204-865583191956,3895095,0,0.0,4242407700,4906071900,4909781500
concurrency_n10_20260613_002229_kafka_feed5_rep1,kafka,sb-events-n10-feed5-rep1,6810c39c-8726-412f-b831-62dfec867465,3895107,0,0.0,4242407700,4910801300,4928463200
concurrency_n10_20260613_002229_kafka_feed5_rep1,kafka,sb-events-n10-feed5-rep1,6d6ab3f4-8136-407c-a92f-3f8a6549abdd,3895113,0,0.0,4242407700,4932283700,4974791400
concurrency_n10_20260613_002229_kafka_feed5_rep1,kafka,sb-events-n10-feed5-rep1,92e52894-484a-48de-8051-469ea23d6aaa,3895121,0,0.0,4242407700,4980445400,4993888800
concurrency_n10_20260613_002229_kafka_feed5_rep1,kafka,sb-events-n10-feed5-rep1,a281da9d-e3f4-43f1-ac2e-f46bbd04fed0,3895134,0,0.0,4242407700,4994390500,4999681200
concurrency_n10_20260613_002229_kafka_feed5_rep1,kafka,sb-events-n10-feed5-rep1,94fb7d19-0216-4cc8-9131-fc41d750b44c,3895232,0,0.0,4242407700,5000111100,5012522700
concurrency_n10_20260613_002229_kafka_feed5_rep1,kafka,sb-events-n10-feed5-rep1,ba22283a-c920-448c-804e-3737cccd9fff,3895052,0,0.0,4242407700,5020816700,5027633600
concurrency_n10_20260613_002229_kafka_feed5_rep1,kafka,sb-events-n10-feed5-rep1,3b3a42a2-e2a1-49f8-9b77-5ec638303a06,3895060,0,0.0,4242407700,5030941100,5035768600
concurrency_n10_20260613_002229_kafka_feed5_rep1,kafka,sb-events-n10-feed5-rep1,fae27a68-42f4-44cf-8fc0-8d4126407ae3,3895067,0,0.0,4242407700,5039958900,5048504300
concurrency_n10_20260613_002229_kafka_feed5_rep1,kafka,sb-events-n10-feed5-rep1,e627413d-5de5-402a-9bb3-90c4cd3b65ec,3895074,0,0.0,4242407700,5054469600,5066310200
concurrency_n10_20260613_002229_kafka_feed5_rep1,kafka,sb-events-n10-feed5-rep1,b795eae8-ba56-4343-8662-92a8da669bc5,3895086,0,0.0,4242407700,5075390900,5102452500
concurrency_n10_20260613_002229_kafka_feed5_rep1,kafka,sb-events-n10-feed5-rep1,a7102458-910f-4583-b653-e3165351e124,3895095,0,0.0,4242407700,5103199300,5122316700
