run_id,backend,config,n,tti_p50,tti_p95,transport_p50,transport_p95,schedlag_p50,n_matched
concurrency_n1_20260721_203144_kafka_feed1_rep1,kafka,single,1,4.851633,102.3463183,1.602755,6.2867814,0.242949,507
concurrency_n1_20260721_203144_kafka_feed1_rep10,kafka,single,1,2.063137,98.651738,0.490638,3.4449726,0.192363,507
concurrency_n1_20260721_203144_kafka_feed1_rep11,kafka,single,1,1.735433,98.4668096,0.478381,3.4200647,0.194037,507
concurrency_n1_20260721_203144_kafka_feed1_rep12,kafka,single,1,1.761575,98.53123689999998,0.467273,3.5186467,0.194379,507
concurrency_n1_20260721_203144_kafka_feed1_rep13,kafka,single,1,1.679069,98.3125059,0.381101,3.3296167,0.200282,507
concurrency_n1_20260721_203144_kafka_feed1_rep14,kafka,single,1,1.767972,100.0827043,0.466021,3.4135647,0.18827,507
concurrency_n1_20260721_203144_kafka_feed1_rep15,kafka,single,1,2.064504,100.5370409,0.55045,5.1638727,0.222169,507
concurrency_n1_20260721_203144_kafka_feed1_rep16,kafka,single,1,1.650064,99.93082859999998,0.384236,3.3033027,0.192271,507
concurrency_n1_20260721_203144_kafka_feed1_rep17,kafka,single,1,1.725742,98.0545126,0.460322,3.2937607,0.198503,507
concurrency_n1_20260721_203144_kafka_feed1_rep18,kafka,single,1,1.64443,99.938801,0.346219,5.018038,0.193034,507
concurrency_n1_20260721_203144_kafka_feed1_rep2,kafka,single,1,2.765322,99.4200239,0.767321,3.8947754,0.205984,507
concurrency_n1_20260721_203144_kafka_feed1_rep3,kafka,single,1,2.031182,99.7829483,0.70808,4.3645907,0.19283,507
concurrency_n1_20260721_203144_kafka_feed1_rep4,kafka,single,1,2.010668,99.11882889999998,0.523208,3.5452137,0.201685,507
concurrency_n1_20260721_203144_kafka_feed1_rep5,kafka,single,1,2.380512,98.9893559,0.629631,3.5153504,0.194893,507
concurrency_n1_20260721_203144_kafka_feed1_rep6,kafka,single,1,1.837468,99.0503256,0.465811,3.7454744,0.19302,507
concurrency_n1_20260721_203144_kafka_feed1_rep7,kafka,single,1,2.086603,101.6010119,0.55692,5.3226197,0.253904,507
concurrency_n1_20260721_203144_kafka_feed1_rep8,kafka,single,1,1.671254,99.06383359999998,0.384737,3.5093677,0.211638,507
concurrency_n1_20260721_203144_kafka_feed1_rep9,kafka,single,1,1.570559,98.5814196,0.364476,3.4483447,0.184678,507
concurrency_n1_20260721_203144_redis_feed1_rep1,redis,single,1,0.998784,2.014877699999999,0.446142,1.1019146999999996,0.225168,507
concurrency_n1_20260721_203144_redis_feed1_rep10,redis,single,1,0.962516,1.889341699999999,0.405339,0.9767011,0.222597,507
concurrency_n1_20260721_203144_redis_feed1_rep11,redis,single,1,1.0133,2.0581994999999997,0.43191,1.0647291,0.239726,507
concurrency_n1_20260721_203144_redis_feed1_rep12,redis,single,1,1.003106,2.135146999999999,0.448143,1.1693787999999998,0.219105,507
concurrency_n1_20260721_203144_redis_feed1_rep13,redis,single,1,0.968649,1.8441524,0.404677,0.9941811,0.232678,507
concurrency_n1_20260721_203144_redis_feed1_rep14,redis,single,1,1.064171,2.1183952,0.506412,1.226251,0.227227,507
concurrency_n1_20260721_203144_redis_feed1_rep15,redis,single,1,1.077067,2.1159118,0.505701,1.2466844999999998,0.24085,507
concurrency_n1_20260721_203144_redis_feed1_rep16,redis,single,1,1.001975,1.8777776999999995,0.448755,1.0489396999999998,0.226831,507
concurrency_n1_20260721_203144_redis_feed1_rep17,redis,single,1,0.998856,1.9298384,0.439462,1.0098019,0.228296,507
concurrency_n1_20260721_203144_redis_feed1_rep18,redis,single,1,1.056248,2.0222537999999988,0.489406,1.1520297999999998,0.240457,507
concurrency_n1_20260721_203144_redis_feed1_rep2,redis,single,1,1.156672,2.3752939,0.557281,1.3492778999999997,0.280499,507
concurrency_n1_20260721_203144_redis_feed1_rep3,redis,single,1,0.990103,1.9557379,0.429956,1.0968798,0.220648,507
concurrency_n1_20260721_203144_redis_feed1_rep4,redis,single,1,1.118867,2.3188482,0.524139,1.2326241,0.282079,507
concurrency_n1_20260721_203144_redis_feed1_rep5,redis,single,1,1.035828,2.1157848999999977,0.492252,1.1906576,0.229035,507
concurrency_n1_20260721_203144_redis_feed1_rep6,redis,single,1,0.976424,1.9131856,0.417476,1.0750985999999998,0.234688,507
concurrency_n1_20260721_203144_redis_feed1_rep7,redis,single,1,1.002407,2.150120999999999,0.450767,1.1163577999999996,0.225454,507
concurrency_n1_20260721_203144_redis_feed1_rep8,redis,single,1,1.037726,2.1138288,0.463868,1.1623764,0.27383,507
concurrency_n1_20260721_203144_redis_feed1_rep9,redis,single,1,1.086734,2.156834,0.521696,1.2368621999999994,0.260599,507
concurrency_n10_20260721_204317_kafka_feed10_rep1,kafka,single,10,5.671653,106.99876199999996,1.601935,5.7611428,0.630047,439
concurrency_n10_20260721_204317_kafka_feed10_rep2,kafka,single,10,6.470018,101.88391659999996,2.58843,10.1828175,1.01823,439
concurrency_n10_20260721_204317_kafka_feed10_rep3,kafka,single,10,8.220748,103.50080999999996,1.610719,6.673661,1.177824,439
concurrency_n10_20260721_204317_kafka_feed1_rep1,kafka,single,10,6.463267,113.9695323,1.791564,10.4056482,1.051178,507
concurrency_n10_20260721_204317_kafka_feed1_rep2,kafka,single,10,7.061085,98.09719859999998,1.244981,6.216911,0.768414,507
concurrency_n10_20260721_204317_kafka_feed1_rep3,kafka,single,10,9.362847,107.2360159,3.201368,8.413125499999998,1.035908,507
concurrency_n10_20260721_204317_kafka_feed2_rep1,kafka,single,10,4.476337,103.67756899999996,0.983682,5.829759599999998,0.54799,425
concurrency_n10_20260721_204317_kafka_feed2_rep2,kafka,single,10,6.099045,104.25350159999996,1.509745,6.081361199999999,0.727749,425
concurrency_n10_20260721_204317_kafka_feed2_rep3,kafka,single,10,6.182237,101.86005779999996,1.659524,6.0789636,1.03218,425
concurrency_n10_20260721_204317_kafka_feed3_rep1,kafka,single,10,6.594906,94.8909684,1.384543,4.073169399999999,0.892664,457
concurrency_n10_20260721_204317_kafka_feed3_rep2,kafka,single,10,7.031808,106.23263659999998,2.106946,13.3555668,1.023364,457
concurrency_n10_20260721_204317_kafka_feed3_rep3,kafka,single,10,8.530566,98.26860519999998,0.830677,5.382251799999998,1.008244,457
concurrency_n10_20260721_204317_kafka_feed4_rep1,kafka,single,10,4.8867575,106.51655769999992,1.258031,3.4665225,0.78074,414
concurrency_n10_20260721_204317_kafka_feed4_rep2,kafka,single,10,8.041776,110.06401349999992,2.1079525,5.9432198,0.997909,414
concurrency_n10_20260721_204317_kafka_feed4_rep3,kafka,single,10,4.9477145,101.55701359999992,0.9026775,4.681232599999984,0.5579265,414
concurrency_n10_20260721_204317_kafka_feed5_rep1,kafka,single,10,7.861985,99.15805975,1.6979115,5.3704285,1.3191395,486
concurrency_n10_20260721_204317_kafka_feed5_rep2,kafka,single,10,7.4398775,100.44087775,2.0545210000000003,4.44294425,0.872943,486
concurrency_n10_20260721_204317_kafka_feed5_rep3,kafka,single,10,8.095396999999998,99.9865575,1.3727399999999998,5.776613,0.8101510000000001,486
concurrency_n10_20260721_204317_kafka_feed6_rep1,kafka,single,10,11.3699115,114.6428826,2.5647200000000003,6.989332800000001,1.977336,320
concurrency_n10_20260721_204317_kafka_feed6_rep2,kafka,single,10,9.701914,109.9280862,2.964105,7.785496999999999,1.3951319999999998,320
concurrency_n10_20260721_204317_kafka_feed6_rep3,kafka,single,10,21.068384,114.3851462,3.2966615,9.7515461,1.1254115,320
