run_id,backend,topic,event_id,match_id,t_sim_seconds,t_emit_offset_s,t_prod_sched_ns,t_prod_send_ns,t_broker_ack_ns
concurrency_n20_20260612_220524_kafka_feed7_rep1,kafka,sb-events-n20-feed7-rep1,69bb4fa7-f177-49a8-9b19-7c01cd9d9a9c,3895052,0,0.0,2633643200,2634114100,2782026300
concurrency_n20_20260612_220524_kafka_feed7_rep1,kafka,sb-events-n20-feed7-rep1,207c41be-4905-457d-af38-e356b67981de,3895060,0,0.0,2633643200,2784134200,2788555600
concurrency_n20_20260612_220524_kafka_feed7_rep1,kafka,sb-events-n20-feed7-rep1,7eb000ee-2ef0-462a-bd57-e4320f459c68,3895067,0,0.0,2633643200,2789220500,2792143400
concurrency_n20_20260612_220524_kafka_feed7_rep1,kafka,sb-events-n20-feed7-rep1,664c81bb-315d-4de4-86d5-f326eebf0684,3895074,0,0.0,2633643200,2793178400,2795812700
concurrency_n20_20260612_220524_kafka_feed7_rep1,kafka,sb-events-n20-feed7-rep1,6c9ebdf9-117f-4a31-8b52-ebcf3c35d0c6,3895086,0,0.0,2633643200,2797074900,2799911400
concurrency_n20_20260612_220524_kafka_feed7_rep1,kafka,sb-events-n20-feed7-rep1,9103cd62-6a36-40c6-9f80-ab1f6d258133,3895095,0,0.0,2633643200,2801452600,2805071900
concurrency_n20_20260612_220524_kafka_feed7_rep1,kafka,sb-events-n20-feed7-rep1,84fbca7e-c79e-4f67-8026-4c9578366292,3895107,0,0.0,2633643200,2807082900,2809836100
concurrency_n20_20260612_220524_kafka_feed7_rep1,kafka,sb-events-n20-feed7-rep1,ea1e6876-4179-4750-8231-55c3d6ec8001,3895113,0,0.0,2633643200,2812016000,2815097000
concurrency_n20_20260612_220524_kafka_feed7_rep1,kafka,sb-events-n20-feed7-rep1,16d29511-a5c7-4a18-a4b4-d40571e69bd4,3895121,0,0.0,2633643200,2817618000,2821829700
concurrency_n20_20260612_220524_kafka_feed7_rep1,kafka,sb-events-n20-feed7-rep1,7f498384-e379-41b8-bdd2-8bf16412e8cc,3895134,0,0.0,2633643200,2822219900,2825219900
concurrency_n20_20260612_220524_kafka_feed7_rep1,kafka,sb-events-n20-feed7-rep1,9790a466-9c56-42aa-96aa-a9ad1a6f8811,3895052,0,0.0,2633643200,2826356300,2831751500
concurrency_n20_20260612_220524_kafka_feed7_rep1,kafka,sb-events-n20-feed7-rep1,fefef503-f3cc-4d41-9b3f-9ddc57b6a93b,3895060,0,0.0,2633643200,2832407300,2836053900
concurrency_n20_20260612_220524_kafka_feed7_rep1,kafka,sb-events-n20-feed7-rep1,d593adb3-8980-46f6-b384-4a91f4ec01ba,3895067,0,0.0,2633643200,2837366300,2844413900
concurrency_n20_20260612_220524_kafka_feed7_rep1,kafka,sb-events-n20-feed7-rep1,3dd463f6-b445-407d-8120-bf6aeab35526,3895074,0,0.0,2633643200,2845114500,2849303800
concurrency_n20_20260612_220524_kafka_feed7_rep1,kafka,sb-events-n20-feed7-rep1,6755b1ac-4f37-4c35-b1ef-181d68375e7d,3895086,0,0.0,2633643200,2850449500,2856701500
concurrency_n20_20260612_220524_kafka_feed7_rep1,kafka,sb-events-n20-feed7-rep1,73376ffb-3f9f-4570-9b3e-c51d44315ef3,3895095,0,0.0,2633643200,2857921200,2863476100
concurrency_n20_20260612_220524_kafka_feed7_rep1,kafka,sb-events-n20-feed7-rep1,b4bd630b-4e82-4f31-8947-17beb238dc5a,3895107,0,0.0,2633643200,2864901500,2868875300
concurrency_n20_20260612_220524_kafka_feed7_rep1,kafka,sb-events-n20-feed7-rep1,a88295ad-33e8-4427-872c-eba006d8a0ef,3895113,0,0.0,2633643200,2870408100,2875229400
concurrency_n20_20260612_220524_kafka_feed7_rep1,kafka,sb-events-n20-feed7-rep1,27cf4ae2-0319-4fc6-9ace-9f960bb0e4e6,3895121,0,0.0,2633643200,2877889100,2887652100
concurrency_n20_20260612_220524_kafka_feed7_rep1,kafka,sb-events-n20-feed7-rep1,4af6d17a-69ad-4bca-aece-f3be76c10138,3895134,0,0.0,2633643200,2888552800,2898472600
concurrency_n20_20260612_220524_kafka_feed7_rep1,kafka,sb-events-n20-feed7-rep1,c6762724-3ad0-4ed1-b232-7f32ac192ec6,3895052,0,0.0,2633643200,2900399100,2903365800
concurrency_n20_20260612_220524_kafka_feed7_rep1,kafka,sb-events-n20-feed7-rep1,2f46ad65-50a4-4834-9bd9-86a61f034234,3895060,0,0.0,2633643200,2904432000,2908356000
concurrency_n20_20260612_220524_kafka_feed7_rep1,kafka,sb-events-n20-feed7-rep1,a40403c7-74d7-45e6-ba91-5ebd6c313d8e,3895067,0,0.0,2633643200,2910036300,2915161700
concurrency_n20_20260612_220524_kafka_feed7_rep1,kafka,sb-events-n20-feed7-rep1,77f9b3e5-e0e4-4032-8228-089aa0dd578b,3895074,0,0.0,2633643200,2916435400,2920485900
concurrency_n20_20260612_220524_kafka_feed7_rep1,kafka,sb-events-n20-feed7-rep1,8b3af8ba-e26c-40b0-8278-c3e4c7a925f8,3895086,0,0.0,2633643200,2922573700,2925698300
concurrency_n20_20260612_220524_kafka_feed7_rep1,kafka,sb-events-n20-feed7-rep1,52a1e2ea-5b27-4cb1-9204-865583191956,3895095,0,0.0,2633643200,2926825600,2929961700
concurrency_n20_20260612_220524_kafka_feed7_rep1,kafka,sb-events-n20-feed7-rep1,6810c39c-8726-412f-b831-62dfec867465,3895107,0,0.0,2633643200,2931985000,2934528300
concurrency_n20_20260612_220524_kafka_feed7_rep1,kafka,sb-events-n20-feed7-rep1,6d6ab3f4-8136-407c-a92f-3f8a6549abdd,3895113,0,0.0,2633643200,2935283200,2938728900
concurrency_n20_20260612_220524_kafka_feed7_rep1,kafka,sb-events-n20-feed7-rep1,92e52894-484a-48de-8051-469ea23d6aaa,3895121,0,0.0,2633643200,2939919100,2943228500
concurrency_n20_20260612_220524_kafka_feed7_rep1,kafka,sb-events-n20-feed7-rep1,a281da9d-e3f4-43f1-ac2e-f46bbd04fed0,3895134,0,0.0,2633643200,2944511500,2948024300
